YEAR,MO,DY,HR,RH2M,SZA,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,PRECTOTCORR,Effeciency,Power Output
2020,1,9,10,86.67,68.72,127.82,330.33,9.92,0.05,2.76,9.11
2020,1,9,11,79.13,64.81,257.12,410.48,11.8,0.01,5.23,21.49
2020,1,9,12,69.28,63.76,349,434.38,11.81,0,7.05,30.62
2020,1,9,13,64.58,65.69,352.92,400.55,10.24,0,7.29,29.19
2020,1,9,14,66.91,70.35,255.55,310.8,8.11,0,5.6,17.39
2020,1,9,15,77.2,77.24,145.1,180.25,5.64,0,3.6,6.49
2020,1,9,16,87.8,85.77,29.65,41.62,3.18,0,1.06,0.44
2020,1,9,17,97.87,90,0,0,0.98,0,0,0
2020,1,9,18,98.88,90,0,0,0.34,0,0,0
2020,1,9,19,98.55,90,0,0,-0.34,0,0,0
2020,1,9,20,99.82,90,0,0,-1.08,0,0,0
2020,1,9,21,98.71,90,0,0,-1.28,0,0,0
2020,1,9,22,95.34,90,0,0,-0.96,0,0,0
2020,1,9,23,96.09,90,0,0,-1.26,0,0,0
2020,1,10,0,97.97,90,0,0,-1.85,0,0,0
2020,1,10,1,99.5,90,0,0,-2.55,0,0,0
2020,1,10,2,96.63,90,0,0,-2.7,0,0,0
2020,1,10,3,93.89,90,0,0,-2.8,0,0,0
2020,1,10,4,90.87,90,0,0,-2.87,0.01,0,0
2020,1,10,5,88.36,90,0,0,-3.01,0,0,0
2020,1,10,6,86.94,90,0,0,-3.22,0.02,0,0
2020,1,10,7,86.8,90,0,0,-3.57,0.02,0,0
2020,1,10,8,82.48,82.76,38.92,90.5,-3.3,0.01,1.14,1.03
2020,1,10,9,77.31,74.93,69.4,231.18,-2.43,0.01,1.64,3.79
2020,1,10,10,73.57,68.62,100.53,349.52,-1.45,0.01,2.2,7.69
2020,1,10,11,71.35,64.69,149.88,419.6,-0.67,0.02,3.2,13.43
2020,1,10,12,70.62,63.61,62.72,436.45,-0.29,1.08,1.34,5.84
2020,1,10,13,70.36,65.52,48.67,395.62,0.01,15.36,1.07,4.22
2020,1,10,14,79.67,70.18,48,302.1,-1.26,25.83,1.12,3.39
2020,1,10,15,83,77.07,30.8,175.95,-2.11,39.26,0.82,1.44
2020,1,10,16,85,85.61,20.52,43.25,-2.78,38.81,0.76,0.33
2020,1,10,17,86,90,0,0,-3.7,33.55,0,0
2020,1,10,18,84.97,90,0,0,-4.98,27.19,0,0
2020,1,10,19,82.91,90,0,0,-6.02,16.54,0,0
2020,1,10,20,80.37,90,0,0,-6.53,14.97,0,0
2020,1,10,21,78.8,90,0,0,-6.9,8.45,0,0
2020,1,10,22,77.42,90,0,0,-7.39,0.79,0,0
2020,1,10,23,77.2,90,0,0,-7.8,0.13,0,0
2020,1,11,0,76.8,90,0,0,-8.11,0,0,0
2020,1,11,1,77.17,90,0,0,-8.56,0,0,0
2020,1,11,2,76.41,90,0,0,-9.3,0.01,0,0
2020,1,11,3,72.94,90,0,0,-9.18,0,0,0
2020,1,11,4,72.4,90,0,0,-9.37,0.03,0,0
2020,1,11,5,73.72,90,0,0,-10.21,0.34,0,0
2020,1,11,6,75.98,90,0,0,-11.13,0.25,0,0
2020,1,11,7,78.28,90,0,0,-11.97,1.2,0,0
2020,1,11,8,75.74,82.7,75.7,96.1,-11.57,2.37,2.19,2.1
2020,1,11,9,74.55,74.85,61.1,242.88,-10.7,2.24,1.43,3.48
2020,1,11,10,72.81,68.51,105.7,367.33,-9.59,2.91,2.29,8.42
2020,1,11,11,70.21,64.56,168.15,444.33,-8.32,0.76,3.53,15.67
2020,1,11,12,69.1,63.45,284.15,467.65,-7.32,0.89,5.87,27.47
2020,1,11,13,68.82,65.35,224.93,433.23,-6.73,0.45,4.67,20.24
2020,1,11,14,70.16,70,180.25,344.05,-6.58,0.08,3.86,13.28
2020,1,11,15,71.08,76.89,105.65,208.65,-6.51,0.02,2.47,5.15
2020,1,11,16,75.43,85.44,52.6,55.12,-7.63,0,1.63,0.9
2020,1,11,17,84.34,90,0,0,-9.74,0,0,0
2020,1,11,18,88.54,90,0,0,-10.6,0,0,0
2020,1,11,19,91.96,90,0,0,-11.1,0.01,0,0
2020,1,11,20,95.35,90,0,0,-11.5,0.02,0,0
2020,1,11,21,97.37,90,0,0,-11.65,0.01,0,0
2020,1,11,22,99.25,90,0,0,-11.62,0,0,0
2020,1,11,23,100,90,0,0,-11.58,0,0,0
2020,1,12,0,100,90,0,0,-11.58,0,0,0
2020,1,12,1,100,90,0,0,-11.68,0.03,0,0
2020,1,12,2,100,90,0,0,-11.86,0.17,0,0
2020,1,12,3,100,90,0,0,-11.43,0.17,0,0
2020,1,12,4,98.33,90,0,0,-10.74,0.11,0,0
2020,1,12,5,97.55,90,0,0,-10.35,0.1,0,0
2020,1,12,6,98.3,90,0,0,-10.43,0.03,0,0
2020,1,12,7,99.83,90,0,0,-10.6,0.03,0,0
2020,1,12,8,95.92,82.62,67.15,95,-9.65,0.02,1.93,1.83
2020,1,12,9,87.09,74.77,127.43,239.38,-6.97,0.02,2.96,7.09
2020,1,12,10,79.99,68.4,170.98,364.67,-4.8,0.02,3.65,13.31
2020,1,12,11,78.21,64.42,123.45,439.92,-3.46,0.06,2.55,11.23
2020,1,12,12,78.25,63.29,129.38,461.95,-2.43,0.13,2.64,12.19
2020,1,12,13,80.3,65.17,112.85,424.7,-1.96,0.24,2.33,9.89
2020,1,12,14,83.4,69.82,81.47,333.62,-1.98,0.58,1.75,5.85
2020,1,12,15,86.88,76.7,43.15,198.98,-2.3,3.16,1.04,2.06
2020,1,12,16,90.5,85.26,19.12,50.22,-2.66,9.46,0.65,0.33
2020,1,12,17,94.15,90,0,0,-3,14.18,0,0
2020,1,12,18,95.61,90,0,0,-3.22,13.8,0,0
2020,1,12,19,96.43,90,0,0,-3.32,7.32,0,0
2020,1,12,20,97.29,90,0,0,-3.68,2.35,0,0
2020,1,12,21,98,90,0,0,-4.11,0.74,0,0
2020,1,12,22,98.24,90,0,0,-4.22,0.28,0,0
2020,1,12,23,98.85,90,0,0,-4.51,0.12,0,0
2020,1,13,0,100,90,0,0,-5.16,0.05,0,0
2020,1,13,1,100,90,0,0,-5.94,0.06,0,0
2020,1,13,2,100,90,0,0,-6.59,0.09,0,0
2020,1,13,3,100,90,0,0,-6.78,0.11,0,0
2020,1,13,4,100,90,0,0,-6.63,0.15,0,0
2020,1,13,5,100,90,0,0,-6.34,0.17,0,0
2020,1,13,6,100,90,0,0,-6.54,0.3,0,0
2020,1,13,7,100,90,0,0,-7.15,0.3,0,0
2020,1,13,8,99.78,82.53,74.95,105.1,-6.61,0.26,1.93,2.03
2020,1,13,9,93.75,74.67,36.28,253.57,-4.3,0.13,0.79,1.99
2020,1,13,10,87.04,68.28,74.82,377.52,-2.52,0.03,1.52,5.75
2020,1,13,11,83.34,64.27,83.97,452.98,-1.04,0,1.67,7.55
2020,1,13,12,82.23,63.12,86.4,469.05,0.01,0.01,1.72,8.07
2020,1,13,13,85.2,64.99,74.97,422.58,0.18,0.07,1.54,6.52
2020,1,13,14,89.03,69.63,33.9,324.48,0.01,0.15,0.75,2.42
2020,1,13,15,92.72,76.52,18.3,189.15,-0.15,0.2,0.46,0.87
2020,1,13,16,94.83,85.07,22.17,47.33,-0.23,0.46,0.82,0.39
2020,1,13,17,95.05,90,0,0,-0.13,1.79,0,0
2020,1,13,18,95.21,90,0,0,0.05,3.08,0,0
2020,1,13,19,95.59,90,0,0,0.18,4.18,0,0
2020,1,13,20,96.05,90,0,0,0.33,5.9,0,0
2020,1,13,21,96.38,90,0,0,0.53,6.1,0,0
2020,1,13,22,96.97,90,0,0,0.69,4.31,0,0
2020,1,13,23,97.51,90,0,0,0.75,0.97,0,0
2020,1,14,0,99.2,90,0,0,0.44,0.17,0,0
2020,1,14,1,100,90,0,0,-0.17,0.12,0,0
2020,1,14,2,98.76,90,0,0,0.16,0.35,0,0
2020,1,14,3,98.09,90,0,0,0.33,0.41,0,0
2020,1,14,4,97.05,90,0,0,0.05,0.15,0,0
2020,1,14,5,95.81,90,0,0,-0.72,0.05,0,0
2020,1,14,6,96.94,90,0,0,-2.26,0,0,0
2020,1,14,7,97.44,90,0,0,-4.07,0,0,0
2020,1,14,8,94.04,82.44,68.43,106.97,-4.46,0,1.75,1.87
2020,1,14,9,87.03,74.57,134.18,258.77,-3.35,0,2.88,7.44
2020,1,14,10,81.69,68.15,300.85,389.85,-2.59,0,6,23.4
2020,1,14,11,78.54,64.12,399.4,469.9,-1.66,0,7.75,36.41
2020,1,14,12,76.92,62.95,455.27,481.38,-0.84,0,8.97,43.16
2020,1,14,13,75.25,64.8,416.7,443.6,-0.24,0,8.33,36.96
2020,1,14,14,75.2,69.44,327.15,349.95,-0.07,0,6.83,23.91
2020,1,14,15,79.43,76.32,186.82,210.23,-0.57,0,4.36,9.17
2020,1,14,16,88.41,84.88,54.03,57.92,-3.1,0,1.73,1
2020,1,14,17,95.01,90,0,0,-5.56,0,0,0
2020,1,14,18,97.27,90,0,0,-6.35,0,0,0
2020,1,14,19,99.15,90,0,0,-6.89,0,0,0
2020,1,14,20,100,90,0,0,-7.54,0,0,0
2020,1,14,21,100,90,0,0,-7.89,0.02,0,0
2020,1,14,22,100,90,0,0,-7.82,0.06,0,0
2020,1,14,23,100,90,0,0,-7.35,0.26,0,0
2020,1,15,0,97.65,90,0,0,-5.86,0.65,0,0
2020,1,15,1,93.79,90,0,0,-4.15,1.05,0,0
2020,1,15,2,93.66,90,0,0,-3.51,1.09,0,0
2020,1,15,3,95.03,90,0,0,-3.26,0.7,0,0
2020,1,15,4,97.09,90,0,0,-3.52,0.52,0,0
2020,1,15,5,97.81,90,0,0,-3.69,0.39,0,0
2020,1,15,6,97.34,90,0,0,-3.58,0.26,0,0
2020,1,15,7,97.07,90,0,0,-3.58,0.24,0,0
2020,1,15,8,95.57,82.34,61.8,86.2,-3.22,0.12,1.97,1.7
2020,1,15,9,92.62,74.47,62.03,226.4,-2.63,0.06,1.52,3.43
2020,1,15,10,89.78,68.02,116.25,358.55,-2.08,0.12,2.51,8.99
2020,1,15,11,87.18,63.95,155.98,447.52,-1.64,0.11,3.17,14.17
2020,1,15,12,84.17,62.76,169.6,442.05,-1.46,0.08,3.64,16.1
2020,1,15,13,81.39,64.61,160.8,415.02,-1.56,0.07,3.46,14.35
2020,1,15,14,80.01,69.24,166.35,332.75,-2.24,0.07,3.7,12.33
2020,1,15,15,79.29,76.13,69.25,201.62,-3.49,0.04,1.73,3.49
2020,1,15,16,79.92,84.68,26.35,57.6,-5.16,0.03,0.9,0.52
2020,1,15,17,81.6,90,0,0,-6.87,0.02,0,0
2020,1,15,18,81.93,90,0,0,-8.14,0.01,0,0
2020,1,15,19,81.12,90,0,0,-9.31,0,0,0
2020,1,15,20,80.53,90,0,0,-10.58,0,0,0
2020,1,15,21,81.69,90,0,0,-12.16,0,0,0
2020,1,15,22,82.91,90,0,0,-13.71,0,0,0
2020,1,15,23,84.27,90,0,0,-14.95,0,0,0
2020,1,16,0,85.08,90,0,0,-16.09,0,0,0
2020,1,16,1,86.93,90,0,0,-17.16,0,0,0
2020,1,16,2,87.89,90,0,0,-18.18,0,0,0
2020,1,16,3,88.24,90,0,0,-18.86,0,0,0
2020,1,16,4,86.49,90,0,0,-19.33,0,0,0
2020,1,16,5,87.25,90,0,0,-19.96,0,0,0
2020,1,16,6,87.98,90,0,0,-20.61,0,0,0
2020,1,16,7,88.13,90,0,0,-21.02,0,0,0
2020,1,16,8,83.08,82.22,97.07,124.28,-19.81,0,2.37,2.95
2020,1,16,9,76.39,74.35,206.27,282.6,-16.8,0,4.4,12.43
2020,1,16,10,74.92,67.88,374.4,418.88,-15.21,0,7.48,31.33
2020,1,16,11,73.99,63.79,451.4,500.83,-13.71,0,8.8,44.07
